contract,method,seed,perturbation_group,perm_rep,mean_abs_pred_change,mean_delta_AE
GROUP_complete,combined_kd,101,observation_support,43,0.6291660501601848,0.35310858734617845
GROUP_complete,combined_kd,101,observation_support,44,0.5554661497156671,0.31907060684041777
GROUP_complete,combined_kd,101,observation_support,45,0.6919878137872574,0.5501876175657231
GROUP_complete,combined_kd,101,observation_support,46,0.7860276521520412,0.45199522588608115
GROUP_complete,combined_kd,101,observation_support,47,0.6443774826983188,0.3161356749230243
GROUP_complete,combined_kd,101,observation_support,48,0.7040663805413754,0.48466660278401474
GROUP_complete,combined_kd,101,observation_support,49,0.6659841537475586,0.3890156417197369
GROUP_complete,combined_kd,101,observation_support,50,0.6833109069377818,0.37665589143874795
GROUP_complete,combined_kd,101,observation_support,51,0.664326845331395,0.3827933879202985
GROUP_complete,combined_kd,101,observation_support,52,0.7635449526157785,0.48315512935151445
GROUP_complete,combined_kd,101,observation_support,53,0.8156835906049038,0.5947468774065058
GROUP_complete,combined_kd,101,observation_support,54,0.6294822185597522,0.39991068624942866
GROUP_complete,combined_kd,101,observation_support,55,0.6569779578675615,0.4164119933513885
GROUP_complete,combined_kd,101,observation_support,56,0.6841381331707569,0.43032630390816545
GROUP_complete,combined_kd,101,observation_support,57,0.7104246565636169,0.40050892509298125
GROUP_complete,combined_kd,101,observation_support,58,0.6682829248144272,0.3604105375979809
GROUP_complete,combined_kd,101,observation_support,59,0.8156813484557132,0.3785461982767632
GROUP_complete,combined_kd,101,observation_support,60,0.7557816835159951,0.5155005336720893
GROUP_complete,combined_kd,101,observation_support,61,0.720412865598151,0.5091576780968524
GROUP_complete,combined_kd,101,observation_support,62,0.6344109190271255,0.36899945506643744
GROUP_complete,combined_kd,101,observation_support,63,0.6749845641724607,0.44943107777453484
GROUP_complete,combined_kd,101,observation_support,64,0.6041868012002174,0.3569175678212592
GROUP_complete,combined_kd,101,observation_support,65,0.6926861164417673,0.4080517923882667
GROUP_complete,combined_kd,101,observation_support,66,0.6842620398135896,0.42305218722972465
GROUP_complete,combined_kd,101,observation_support,67,0.7023245070842986,0.4309757150690606
GROUP_complete,combined_kd,101,observation_support,68,0.6752354185631935,0.44429122372891044
GROUP_complete,combined_kd,101,observation_support,69,0.6751469880976575,0.42113210323009087
GROUP_complete,combined_kd,101,observation_support,70,0.6976120345135952,0.37077042447759745
GROUP_complete,combined_kd,101,observation_support,71,0.6583106923610607,0.3998075942587345
GROUP_complete,combined_kd,101,observation_support,72,0.7238779575266736,0.5500960923864486
GROUP_complete,combined_kd,101,observation_support,73,0.6823586022600214,0.42890297270835714
GROUP_complete,combined_kd,101,observation_support,74,0.6582085274635477,0.4427075261055155
GROUP_complete,combined_kd,101,observation_support,75,0.7951618306180264,0.5221549563306443
GROUP_complete,combined_kd,101,observation_support,76,0.7091130449416789,0.4569773134677968
GROUP_complete,combined_kd,101,observation_support,77,0.7177338879159156,0.45490738424341726
GROUP_complete,combined_kd,101,observation_support,78,0.6933658706380966,0.438676564825342
GROUP_complete,combined_kd,101,observation_support,79,0.6115706347404642,0.3715194912971334
GROUP_complete,combined_kd,101,observation_support,80,0.7515702932438952,0.4854346270256854
GROUP_complete,combined_kd,101,observation_support,81,0.7814446053606399,0.5339615422106804
GROUP_complete,combined_kd,101,observation_support,82,0.8334737914673825,0.5558351270188677
GROUP_complete,combined_kd,101,observation_support,83,0.6998549116418716,0.37612166396607744
GROUP_complete,combined_kd,101,observation_support,84,0.6856206376501854,0.45902525775990594
GROUP_complete,combined_kd,101,observation_support,85,0.7204368063744079,0.4812937383043005
GROUP_complete,combined_kd,101,observation_support,86,0.5783663176475687,0.3433870150586392
GROUP_complete,combined_kd,101,observation_support,87,0.7394000723006877,0.5358575268603386
GROUP_complete,combined_kd,101,observation_support,88,0.729110598564148,0.5047468640550654
GROUP_complete,combined_kd,101,observation_support,89,0.663550042091532,0.433474707826655
GROUP_complete,combined_kd,101,observation_support,90,0.6918526938621034,0.39654959972868575
GROUP_complete,combined_kd,101,observation_support,91,0.8056113390212364,0.5153359933203839
GROUP_complete,combined_kd,101,observation_support,92,0.8257422041385731,0.5316700434583299
GROUP_complete,combined_kd,101,observation_support,93,0.7753607643411514,0.5094102361760241
GROUP_complete,combined_kd,101,observation_support,94,0.7757344753184217,0.5303875982000473
GROUP_complete,combined_kd,101,observation_support,95,0.8846832818173348,0.5569059825856635
GROUP_complete,combined_kd,101,observation_support,96,0.6307389964448645,0.35421751235393767
GROUP_complete,combined_kd,101,observation_support,97,0.5764188893297886,0.354162518420118
GROUP_complete,combined_kd,101,observation_support,98,0.6559521238854591,0.41099349281635694
GROUP_complete,combined_kd,101,observation_support,99,0.735317458497717,0.46505723575835534
GROUP_complete,combined_kd,101,radiation,0,0.5269721619626309,0.4124469007938466
GROUP_complete,combined_kd,101,radiation,1,0.5403513705476801,0.42851762280565625
GROUP_complete,combined_kd,101,radiation,2,0.5688613450273554,0.4702654773022266
GROUP_complete,combined_kd,101,radiation,3,0.5829474849903837,0.47683454864583114
GROUP_complete,combined_kd,101,radiation,4,0.6184519174251151,0.45183667051031234
GROUP_complete,combined_kd,101,radiation,5,0.5641638420997782,0.4087680258243642
GROUP_complete,combined_kd,101,radiation,6,0.60617289137333,0.47124777558509334
GROUP_complete,combined_kd,101,radiation,7,0.6379375787491494,0.5270422145153614
GROUP_complete,combined_kd,101,radiation,8,0.5801283983474083,0.4979859293065173
GROUP_complete,combined_kd,101,radiation,9,0.6234153559867371,0.5428137279064097
GROUP_complete,combined_kd,101,radiation,10,0.5563494727966634,0.42017122079970987
GROUP_complete,combined_kd,101,radiation,11,0.5817936126222002,0.4061923932420447
GROUP_complete,combined_kd,101,radiation,12,0.6568788670478983,0.5362035280592897
GROUP_complete,combined_kd,101,radiation,13,0.47534094719176595,0.3485754348876629
GROUP_complete,combined_kd,101,radiation,14,0.4784628558666148,0.3447898990752849
GROUP_complete,combined_kd,101,radiation,15,0.507510892888333,0.39539119121876165
GROUP_complete,combined_kd,101,radiation,16,0.5664159820434895,0.43778856502695285
GROUP_complete,combined_kd,101,radiation,17,0.6336210712473443,0.5115861674166741
GROUP_complete,combined_kd,101,radiation,18,0.4936337521735658,0.348109508270913
GROUP_complete,combined_kd,101,radiation,19,0.5978878203858721,0.49000580945928046
GROUP_complete,combined_kd,101,radiation,20,0.5447564936698751,0.3992023772787541
GROUP_complete,combined_kd,101,radiation,21,0.5870167803257069,0.45693573140083477
GROUP_complete,combined_kd,101,radiation,22,0.5135776337156904,0.33482388885985026
GROUP_complete,combined_kd,101,radiation,23,0.5272956477834824,0.3966759845855388
GROUP_complete,combined_kd,101,radiation,24,0.47020148470046674,0.32587869780114354
GROUP_complete,combined_kd,101,radiation,25,0.48671278294096604,0.36211000813829136
GROUP_complete,combined_kd,101,radiation,26,0.6072416863542922,0.49551638814236254
GROUP_complete,combined_kd,101,radiation,27,0.47969358018104064,0.36398657470053813
GROUP_complete,combined_kd,101,radiation,28,0.4853926846321593,0.35223759137823224
GROUP_complete,combined_kd,101,radiation,29,0.5156356425995522,0.4151996021676571
GROUP_complete,combined_kd,101,radiation,30,0.5135709656045792,0.39832571636362274
GROUP_complete,combined_kd,101,radiation,31,0.6514343454482707,0.564359216892973
GROUP_complete,combined_kd,101,radiation,32,0.5631991777014225,0.4465736065519617
GROUP_complete,combined_kd,101,radiation,33,0.5756577811342605,0.42386424659160854
GROUP_complete,combined_kd,101,radiation,34,0.4990275286613627,0.38351691073559696
GROUP_complete,combined_kd,101,radiation,35,0.6045809984207153,0.45763228134398765
GROUP_complete,combined_kd,101,radiation,36,0.5982570014101394,0.49783710623802024
GROUP_complete,combined_kd,101,radiation,37,0.4758712560572523,0.3836595789523835
GROUP_complete,combined_kd,101,radiation,38,0.5367636097238419,0.4192124950530681
GROUP_complete,combined_kd,101,radiation,39,0.5297769510999639,0.40616363584234355
